model,version,validation_scheme,fold,train_period,validation_period,mape,params
group_median,v1,expanding_window,fold_1_2014,2010-01-01 to 2013-12-31,2014-01-01 to 2014-12-31,12.54953,"{""group_cols"": [""country"", ""store"", ""product""]}"
group_median,v1,expanding_window,fold_2_2015,2010-01-01 to 2014-12-31,2015-01-01 to 2015-12-31,18.245439,"{""group_cols"": [""country"", ""store"", ""product""]}"
group_median,v1,expanding_window,fold_3_2016,2010-01-01 to 2015-12-31,2016-01-01 to 2016-12-31,18.163489,"{""group_cols"": [""country"", ""store"", ""product""]}"
group_median,v1,long_horizon,2014_2016,2010-01-01 to 2013-12-31,2014-01-01 to 2016-12-31,17.460368,"{""group_cols"": [""country"", ""store"", ""product""]}"
seasonal_naive_last_year,v1,expanding_window,fold_1_2014,2010-01-01 to 2013-12-31,2014-01-01 to 2014-12-31,11.229063,"{""fallback"": ""group_median"", ""lag"": ""1 year""}"
seasonal_naive_last_year,v1,expanding_window,fold_2_2015,2010-01-01 to 2014-12-31,2015-01-01 to 2015-12-31,15.90462,"{""fallback"": ""group_median"", ""lag"": ""1 year""}"
seasonal_naive_last_year,v1,expanding_window,fold_3_2016,2010-01-01 to 2015-12-31,2016-01-01 to 2016-12-31,12.687882,"{""fallback"": ""group_median"", ""lag"": ""1 year""}"
seasonal_naive_last_year,v1,long_horizon,2014_2016,2010-01-01 to 2013-12-31,2014-01-01 to 2016-12-31,17.019122,"{""fallback"": ""group_median"", ""lag"": ""1 year""}"
ridge_calendar_one_hot,v1,expanding_window,fold_1_2014,2010-01-01 to 2013-12-31,2014-01-01 to 2014-12-31,13.276998,"{""alpha"": 1.0, ""target_transform"": ""log1p""}"
ridge_calendar_one_hot,v1,expanding_window,fold_2_2015,2010-01-01 to 2014-12-31,2015-01-01 to 2015-12-31,22.081696,"{""alpha"": 1.0, ""target_transform"": ""log1p""}"
ridge_calendar_one_hot,v1,expanding_window,fold_3_2016,2010-01-01 to 2015-12-31,2016-01-01 to 2016-12-31,18.220786,"{""alpha"": 1.0, ""target_transform"": ""log1p""}"
ridge_calendar_one_hot,v1,long_horizon,2014_2016,2010-01-01 to 2013-12-31,2014-01-01 to 2016-12-31,23.907846,"{""alpha"": 1.0, ""target_transform"": ""log1p""}"
catboost_raw,v1,expanding_window,fold_1_2014,2010-01-01 to 2013-12-31,2014-01-01 to 2014-12-31,15.917685,"{""allow_writing_files"": false, ""cat_features"": [""country"", ""store"", ""product""], ""catboost_version"": ""1.2.10"", ""depth"": 6, ""features"": [""year"", ""month"", ""day"", ""day_of_week"", ""day_of_year"", ""week_of_year"", ""quarter"", ""is_weekend"", ""time_idx"", ""day_of_week_sin"", ""day_of_week_cos"", ""month_sin"", ""month_cos"", ""day_of_year_sin"", ""day_of_year_cos"", ""country"", ""store"", ""product""], ""has_time"": true, ""iterations"": 500, ""learning_rate"": 0.05, ""loss_function"": ""RMSE"", ""prediction_postprocessing"": ""clip_min_0"", ""random_seed"": 42, ""target_transform"": ""none"", ""task_type"": ""CPU"", ""thread_count"": 4, ""use_best_model"": false, ""verbose"": false}"
catboost_raw,v1,expanding_window,fold_2_2015,2010-01-01 to 2014-12-31,2015-01-01 to 2015-12-31,23.756415,"{""allow_writing_files"": false, ""cat_features"": [""country"", ""store"", ""product""], ""catboost_version"": ""1.2.10"", ""depth"": 6, ""features"": [""year"", ""month"", ""day"", ""day_of_week"", ""day_of_year"", ""week_of_year"", ""quarter"", ""is_weekend"", ""time_idx"", ""day_of_week_sin"", ""day_of_week_cos"", ""month_sin"", ""month_cos"", ""day_of_year_sin"", ""day_of_year_cos"", ""country"", ""store"", ""product""], ""has_time"": true, ""iterations"": 500, ""learning_rate"": 0.05, ""loss_function"": ""RMSE"", ""prediction_postprocessing"": ""clip_min_0"", ""random_seed"": 42, ""target_transform"": ""none"", ""task_type"": ""CPU"", ""thread_count"": 4, ""use_best_model"": false, ""verbose"": false}"
catboost_raw,v1,expanding_window,fold_3_2016,2010-01-01 to 2015-12-31,2016-01-01 to 2016-12-31,15.059582,"{""allow_writing_files"": false, ""cat_features"": [""country"", ""store"", ""product""], ""catboost_version"": ""1.2.10"", ""depth"": 6, ""features"": [""year"", ""month"", ""day"", ""day_of_week"", ""day_of_year"", ""week_of_year"", ""quarter"", ""is_weekend"", ""time_idx"", ""day_of_week_sin"", ""day_of_week_cos"", ""month_sin"", ""month_cos"", ""day_of_year_sin"", ""day_of_year_cos"", ""country"", ""store"", ""product""], ""has_time"": true, ""iterations"": 500, ""learning_rate"": 0.05, ""loss_function"": ""RMSE"", ""prediction_postprocessing"": ""clip_min_0"", ""random_seed"": 42, ""target_transform"": ""none"", ""task_type"": ""CPU"", ""thread_count"": 4, ""use_best_model"": false, ""verbose"": false}"
catboost_raw,v1,long_horizon,2014_2016,2010-01-01 to 2013-12-31,2014-01-01 to 2016-12-31,22.522954,"{""allow_writing_files"": false, ""cat_features"": [""country"", ""store"", ""product""], ""catboost_version"": ""1.2.10"", ""depth"": 6, ""features"": [""year"", ""month"", ""day"", ""day_of_week"", ""day_of_year"", ""week_of_year"", ""quarter"", ""is_weekend"", ""time_idx"", ""day_of_week_sin"", ""day_of_week_cos"", ""month_sin"", ""month_cos"", ""day_of_year_sin"", ""day_of_year_cos"", ""country"", ""store"", ""product""], ""has_time"": true, ""iterations"": 500, ""learning_rate"": 0.05, ""loss_function"": ""RMSE"", ""prediction_postprocessing"": ""clip_min_0"", ""random_seed"": 42, ""target_transform"": ""none"", ""task_type"": ""CPU"", ""thread_count"": 4, ""use_best_model"": false, ""verbose"": false}"
catboost_log,v2,expanding_window,fold_1_2014,2010-01-01 to 2013-12-31,2014-01-01 to 2014-12-31,7.334349,"{""allow_writing_files"": false, ""cat_features"": [""country"", ""store"", ""product""], ""catboost_version"": ""1.2.10"", ""depth"": 6, ""features"": [""year"", ""month"", ""day"", ""day_of_week"", ""day_of_year"", ""week_of_year"", ""quarter"", ""is_weekend"", ""time_idx"", ""day_of_week_sin"", ""day_of_week_cos"", ""month_sin"", ""month_cos"", ""day_of_year_sin"", ""day_of_year_cos"", ""country"", ""store"", ""product""], ""has_time"": true, ""iterations"": 500, ""learning_rate"": 0.05, ""loss_function"": ""RMSE"", ""prediction_postprocessing"": ""exmp1_then_clip_min_0"", ""random_seed"": 42, ""target_transform"": ""log1p"", ""task_type"": ""CPU"", ""thread_count"": 4, ""use_best_model"": false, ""verbose"": false}"
catboost_log,v2,expanding_window,fold_2_2015,2010-01-01 to 2014-12-31,2015-01-01 to 2015-12-31,13.599239,"{""allow_writing_files"": false, ""cat_features"": [""country"", ""store"", ""product""], ""catboost_version"": ""1.2.10"", ""depth"": 6, ""features"": [""year"", ""month"", ""day"", ""day_of_week"", ""day_of_year"", ""week_of_year"", ""quarter"", ""is_weekend"", ""time_idx"", ""day_of_week_sin"", ""day_of_week_cos"", ""month_sin"", ""month_cos"", ""day_of_year_sin"", ""day_of_year_cos"", ""country"", ""store"", ""product""], ""has_time"": true, ""iterations"": 500, ""learning_rate"": 0.05, ""loss_function"": ""RMSE"", ""prediction_postprocessing"": ""exmp1_then_clip_min_0"", ""random_seed"": 42, ""target_transform"": ""log1p"", ""task_type"": ""CPU"", ""thread_count"": 4, ""use_best_model"": false, ""verbose"": false}"
